OBJECTID,County,Acres,Install Type,Urban or Rural,Combined Class,Distance to Substation (Miles) GTET 100 Max Voltage,Percentile (GTET 100 Max Voltage),Substation Name GTET 100 Max Voltage,HIFLD ID (GTET 100 Max Voltage),Distance to Substation (Miles) GTET 200 Max Voltage,Percentile (GTET 200 Max Voltage),Substation Name GTET 200 Max Voltage,HIFLD ID (GTET 200 Max Voltage),Distance to Substation (Miles) CAISO,Percentile (CAISO),Substation CASIO Name,HIFLD ID (CAISO),Solar Technoeconomic Intersection,Shape__Area,Shape__Length
11,Alameda County,7.31241579607883,Rooftop,Urban,Rooftop - Urban,1.21691878628464,0 to 25th,Nummi,305808,3.2578491505676,25th to 50th,Newark Distribution,309183,3.33690155116184,25th to 50th,Los Esteros,310258,Within,29592.3753347397,806.434937980282
12,Alameda County,7.15489898006455,Rooftop,Urban,Rooftop - Urban,1.05498242054442,0 to 25th,Nummi,305808,3.13476519589767,25th to 50th,Newark Distribution,309183,3.464362956056,25th to 50th,Los Esteros,310258,Within,28954.9354038239,764.285997721934
13,Alameda County,1.17921357941656,Rooftop,Urban,Rooftop - Urban,0.887263191021957,0 to 25th,Nummi,305808,2.73840590211969,0 to 25th,Newark Distribution,309183,3.63326721297534,25th to 50th,Los Esteros,310258,Within,4772.13269138336,303.054145032473
14,Alameda County,2.08400774180839,Ground,Urban,Ground - Urban,0.767027920959119,0 to 25th,Nummi,305808,2.30674596341091,0 to 25th,Newark Distribution,309183,3.88323458811696,25th to 50th,Los Esteros,310258,Within,8433.72251224518,406.832204446068
15,Alameda County,0.354536037334912,Parking,Urban,Parking - Urban,0.609114218374574,0 to 25th,Nummi,305808,2.06501117751568,0 to 25th,Newark Distribution,309183,4.25845375819144,25th to 50th,Los Esteros,310258,Within,1434.7620677948,166.206687643863
16,Alameda County,1.05949215074215,Parking,Urban,Parking - Urban,0.642255553369093,0 to 25th,Nummi,305808,1.99379762209079,0 to 25th,Newark Distribution,309183,4.24647066209029,25th to 50th,Los Esteros,310258,Within,4287.63010406494,452.225727853613
17,Alameda County,2.4934341867118,Rooftop,Urban,Rooftop - Urban,0.59968784229732,0 to 25th,Nummi,305808,1.9725863530028,0 to 25th,Newark Distribution,309183,4.27571314300656,25th to 50th,Los Esteros,310258,Within,10090.6116018295,617.895461944656
18,Alameda County,2.26726126894953,Rooftop,Urban,Rooftop - Urban,0.387107452022296,0 to 25th,Newark Distribution,309183,0.387107452022296,0 to 25th,Newark Distribution,309183,5.39206295874896,50th to 75th,Los Esteros,310258,Within,9175.30309295654,395.988264324389
19,Alameda County,1.64855822088294,Rooftop,Urban,Rooftop - Urban,0.577856645253975,0 to 25th,Newark Distribution,309183,0.577856645253975,0 to 25th,Newark Distribution,309183,5.36972005760176,50th to 75th,Los Esteros,310258,Within,6671.5044670105,353.717394138667
20,Alameda County,0.453053280633441,Parking,Urban,Parking - Urban,0.519012512810375,0 to 25th,Nummi,305808,2.35978197732215,0 to 25th,Newark Distribution,309183,5.09206099231052,50th to 75th,Los Esteros,310258,Within,1833.44914054871,210.538272673043
21,Alameda County,3.28424645493656,Rooftop,Urban,Rooftop - Urban,0.434489406831737,0 to 25th,Newark Distribution,309183,0.434489406831737,0 to 25th,Newark Distribution,309183,5.51000225281903,50th to 75th,Los Esteros,310258,Within,13290.907500267,471.611577751062
22,Alameda County,3.20744705287645,Rooftop,Urban,Rooftop - Urban,0.702100106747655,0 to 25th,Newark Distribution,309183,0.702100106747655,0 to 25th,Newark Distribution,309183,5.42411260051146,50th to 75th,Los Esteros,310258,Within,12980.1244773865,486.836754278038
23,Alameda County,0.690024059541411,Parking,Urban,Parking - Urban,0.543184220481706,0 to 25th,Nummi,305808,2.30709617058122,0 to 25th,Newark Distribution,309183,5.12125112514014,50th to 75th,Los Esteros,310258,Within,2792.43920707703,312.207668711236
24,Alameda County,0.961624496232266,Parking,Urban,Parking - Urban,0.595020462379428,0 to 25th,Nummi,305808,2.33337707360927,0 to 25th,Newark Distribution,309183,5.17215078947621,50th to 75th,Los Esteros,310258,Within,3891.57154655457,249.586448788198
25,Alameda County,1.12245926445522,Rooftop,Urban,Rooftop - Urban,0.783899278292232,0 to 25th,Newark Distribution,309183,0.783899278292232,0 to 25th,Newark Distribution,309183,5.55555725568505,50th to 75th,Los Esteros,310258,Within,4542.45223331451,278.286667174152
26,Alameda County,0.340451976182016,Rooftop,Urban,Rooftop - Urban,1.03408215303008,0 to 25th,Newark Distribution,309183,1.03408215303008,0 to 25th,Newark Distribution,309183,5.55168002939454,50th to 75th,Los Esteros,310258,Within,1377.78172016144,286.300034717526
27,Alameda County,0.810173237229293,Rooftop,Urban,Rooftop - Urban,1.0525380012947,0 to 25th,Nummi,305808,1.57358430337786,0 to 25th,Newark Distribution,309183,5.44080530328958,50th to 75th,Los Esteros,310258,Within,3278.6682510376,236.596373385903
28,Alameda County,2.17049743223222,Rooftop,Urban,Rooftop - Urban,0.29418954629897,0 to 25th,Newark Distribution,309183,0.29418954629897,0 to 25th,Newark Distribution,309183,5.86562749458503,50th to 75th,Los Esteros,310258,Within,8783.70736217499,450.117223012558
29,Alameda County,1.50226536445196,Rooftop,Urban,Rooftop - Urban,0.564515768626873,0 to 25th,Newark,306611,0.564515768626873,0 to 25th,Newark,306611,6.40459458187163,50th to 75th,Los Esteros,310258,Within,6079.47647666931,318.218590318573
30,Alameda County,2.18175315847747,Rooftop,Urban,Rooftop - Urban,0.686902979969801,0 to 25th,Newark,306611,0.686902979969801,0 to 25th,Newark,306611,6.5329604463241,50th to 75th,Los Esteros,310258,Within,8829.27555656433,398.549096379037
31,Alameda County,3.25849993707115,Rooftop,Urban,Rooftop - Urban,1.18212610417674,0 to 25th,Nummi,305808,2.15768605513078,0 to 25th,Newark Distribution,309183,5.7572086708939,50th to 75th,Los Esteros,310258,Within,13186.7225399017,533.0811999785
32,Alameda County,2.73859122525918,Rooftop,Urban,Rooftop - Urban,0.66260582067063,0 to 25th,Newark Distribution,309183,0.66260582067063,0 to 25th,Newark Distribution,309183,6.31603216405261,50th to 75th,Los Esteros,310258,Within,11082.7407970428,443.806893670048
33,Alameda County,5.21460155667512,Rooftop,Urban,Rooftop - Urban,2.79462304359976,50th to 75th,Newark,306611,2.79462304359976,0 to 25th,Newark,306611,8.31646288010743,50th to 75th,Los Esteros,310258,Within,21102.891046524,690.704305613013
34,Alameda County,2.92196170909248,Rooftop,Urban,Rooftop - Urban,1.17200274927827,0 to 25th,Newark Distribution,309183,1.17200274927827,0 to 25th,Newark Distribution,309183,6.97703073010383,50th to 75th,Los Esteros,310258,Within,11824.8218259811,455.184632862761
35,Alameda County,13.2032426105011,Rooftop,Urban,Rooftop - Urban,1.9932291438951,25th to 50th,Newark,306611,1.9932291438951,0 to 25th,Newark,306611,7.71845593328742,50th to 75th,Los Esteros,310258,Within,53431.8358516693,1127.05091271507
36,Alameda County,2.21407586497138,Parking,Urban,Parking - Urban,1.6954796525081,25th to 50th,Newark,306611,1.6954796525081,0 to 25th,Newark,306611,7.54407891701663,50th to 75th,Los Esteros,310258,Within,8960.09429550171,495.257821653481
37,Alameda County,1.08833154280956,Parking,Urban,Parking - Urban,1.3843567435696,25th to 50th,Fremont,302108,2.24648202553163,0 to 25th,Newark Distribution,309183,6.66016272671386,50th to 75th,Los Esteros,310258,Within,4404.3393201828,265.639048874588
38,Alameda County,1.27857143274858,Rooftop,Urban,Rooftop - Urban,2.5334506073585,25th to 50th,Dumbarton,307780,3.08236322899116,0 to 25th,Newark,306611,8.69864115475964,50th to 75th,Los Esteros,310258,Within,5174.2157869339,288.444782222089
39,Alameda County,5.27553875250494,Ground,Urban,Ground - Urban,2.54379890578731,25th to 50th,Nummi,305808,3.91110203376016,25th to 50th,Newark Distribution,309183,6.83733684787346,50th to 75th,Los Esteros,310258,Within,21349.4323606491,660.552021263841
40,Alameda County,2.52423120096565,Rooftop,Urban,Rooftop - Urban,2.67067008187634,25th to 50th,Dumbarton,307780,2.76756107109282,0 to 25th,Newark,306611,8.49510530968175,50th to 75th,Los Esteros,310258,Within,10215.2049942017,477.081499508734
41,Alameda County,2.57836717059231,Rooftop,Urban,Rooftop - Urban,0.887976451020598,0 to 25th,Dumbarton Tap,310572,4.80774143493925,25th to 50th,Newark,306611,10.398850452547,75th to 100th,Los Esteros,310258,Within,10434.3143949509,480.567202672873
42,Alameda County,2.82085889795603,Rooftop,Urban,Rooftop - Urban,0.742739948213379,0 to 25th,Dumbarton Tap,310572,4.96151272443865,25th to 50th,Newark,306611,10.5448156192452,75th to 100th,Los Esteros,310258,Within,11415.6566648483,427.801668284272
43,Alameda County,0.950471943286698,Parking,Urban,Parking - Urban,1.42862263204073,25th to 50th,Dumbarton,307780,4.04948824293726,25th to 50th,Newark,306611,9.81985911138461,75th to 100th,Los Esteros,310258,Within,3846.43900871277,252.057726437832
44,Alameda County,0.819693491844818,Rooftop,Urban,Rooftop - Urban,0.774909898799621,0 to 25th,Dumbarton,307780,4.91143130016375,25th to 50th,Newark,306611,10.5737346390375,75th to 100th,Los Esteros,310258,Within,3317.19494247437,237.294143969276
45,Alameda County,1.2817477240944,Rooftop,Urban,Rooftop - Urban,0.57512496511987,0 to 25th,Dumbarton,307780,4.95169703928772,25th to 50th,Newark,306611,10.6569829689399,75th to 100th,Los Esteros,310258,Within,5187.06612205505,366.139261260562
46,Alameda County,1.25674744697922,Parking,Urban,Parking - Urban,0.819308428205736,0 to 25th,Fremont,302108,3.17716831313711,25th to 50th,Newark Distribution,309183,8.64234831844044,50th to 75th,Los Esteros,310258,Within,5085.89463043213,287.952360091555
47,Alameda County,1.28629930707536,Rooftop,Urban,Rooftop - Urban,2.1754926535974,25th to 50th,Dumbarton,307780,3.83411015959442,25th to 50th,Newark,306611,9.68139057502191,75th to 100th,Los Esteros,310258,Within,5205.48735332489,374.468010672774
48,Alameda County,0.846399822745615,Parking,Urban,Parking - Urban,0.760661429826676,0 to 25th,Fremont,302108,3.38762599175377,25th to 50th,Newark Distribution,309183,8.73756942147279,50th to 75th,Los Esteros,310258,Within,3425.27082252502,364.109763118591
49,Alameda County,1.60268021667716,Parking,Urban,Parking - Urban,0.780940958269474,0 to 25th,Fremont,302108,3.42556859059868,25th to 50th,Newark Distribution,309183,8.76680984993081,50th to 75th,Los Esteros,310258,Within,6485.84278392792,342.167030237204
50,Alameda County,0.32902768005352,Ground,Urban,Ground - Urban,2.65466193108696,25th to 50th,Fremont,302108,5.32193843698519,25th to 50th,Newark Distribution,309183,9.44736802276033,75th to 100th,Los Esteros,310258,Within,1331.53312015533,148.955349283485
51,Alameda County,3.6244877658179,Parking,Urban,Parking - Urban,0.675745154992411,0 to 25th,Air Liquide,306175,5.32355698827057,25th to 50th,Eastshore,301389,12.3397479424572,75th to 100th,Los Esteros,310258,Within,14667.8357653618,583.607483837839
52,Alameda County,0.588713869554642,Rooftop,Urban,Rooftop - Urban,0.464867411392886,0 to 25th,Unknown,306440,6.28100893370682,50th to 75th,Eastshore,301389,12.0907378915436,75th to 100th,Los Esteros,310258,Within,2382.45002269745,195.281368815615
53,Alameda County,3.4053554384468,Rooftop,Urban,Rooftop - Urban,2.76287663523394,25th to 50th,Cryogenics,303469,2.98925732893804,0 to 25th,Eastshore,301389,14.230934372808,75th to 100th,Los Esteros,310258,Within,13781.0520305634,545.097098978392
54,Alameda County,0.170879693921773,Parking,Urban,Parking - Urban,2.20094835140606,25th to 50th,Eastshore,301389,2.20094835140606,0 to 25th,Eastshore,301389,14.8465474037517,75th to 100th,Los Esteros,310258,Within,691.528235435486,131.342986634639
55,Alameda County,2.95893474297692,Rooftop,Urban,Rooftop - Urban,2.55129227953706,25th to 50th,Cryogenics,303469,3.17049771944294,25th to 50th,Eastshore,301389,14.2687499529733,75th to 100th,Los Esteros,310258,Within,11974.4386873245,447.519227356518
56,Alameda County,4.33961441301942,Parking,Urban,Parking - Urban,2.07119164670773,25th to 50th,Eastshore,301389,2.07119164670773,0 to 25th,Eastshore,301389,14.8757215483304,75th to 100th,Los Esteros,310258,Within,17561.8216333389,572.973454094492
57,Alameda County,1.84066229121411,Rooftop,Urban,Rooftop - Urban,2.51641015386357,25th to 50th,Eastshore,301389,2.51641015386357,0 to 25th,Eastshore,301389,14.7134411028174,75th to 100th,Los Esteros,310258,Within,7448.92599630356,347.110303115214
58,Alameda County,2.32920769774188,Rooftop,Urban,Rooftop - Urban,2.29906752082403,25th to 50th,Cryogenics,303469,3.4364705133552,25th to 50th,Eastshore,301389,14.1918328940589,75th to 100th,Los Esteros,310258,Within,9426.00707197189,475.023381929858
59,Alameda County,1.24224212273466,Rooftop,Urban,Rooftop - Urban,2.63129029407207,25th to 50th,Eastshore,301389,2.63129029407207,0 to 25th,Eastshore,301389,14.7596906590678,75th to 100th,Los Esteros,310258,Within,5027.19046163559,308.350097048371
60,Alameda County,0.501612116932676,Rooftop,Urban,Rooftop - Urban,2.61569359142731,25th to 50th,Eastshore,301389,2.61569359142731,0 to 25th,Eastshore,301389,14.8092196322127,75th to 100th,Los Esteros,310258,Within,2029.9573597908,208.919713044519
61,Alameda County,3.38353580464274,Rooftop,Urban,Rooftop - Urban,1.5727486362455,25th to 50th,Eastshore,301389,1.5727486362455,0 to 25th,Eastshore,301389,15.5537526575562,75th to 100th,Los Esteros,310258,Within,13692.7426218987,477.380951813747
62,Alameda County,2.6677191901139,Rooftop,Urban,Rooftop - Urban,1.70985258597644,25th to 50th,Eastshore,301389,1.70985258597644,0 to 25th,Eastshore,301389,15.5060370596994,75th to 100th,Los Esteros,310258,Within,10795.9125766754,535.883078162878
63,Alameda County,0.991116355986215,Rooftop,Urban,Rooftop - Urban,2.30155460661036,25th to 50th,Cryogenics,303469,3.65941226838717,25th to 50th,Eastshore,301389,14.5715179010254,75th to 100th,Los Esteros,310258,Within,4010.91657209396,271.791749305116
64,Alameda County,1.5614550867901,Rooftop,Urban,Rooftop - Urban,2.16707783597723,25th to 50th,Cryogenics,303469,3.84578277957071,25th to 50th,Eastshore,301389,14.4907290092155,75th to 100th,Los Esteros,310258,Within,6319.00754833221,365.498885319401
65,Alameda County,0.557970279684713,Rooftop,Urban,Rooftop - Urban,2.28187989491574,25th to 50th,Cryogenics,303469,3.73142209915702,25th to 50th,Eastshore,301389,14.5797658828541,75th to 100th,Los Esteros,310258,Within,2258.03469800949,195.04227977388
66,Alameda County,1.7729079103799,Rooftop,Urban,Rooftop - Urban,2.35211880941943,25th to 50th,Cryogenics,303469,3.61673850822258,25th to 50th,Eastshore,301389,14.6280803245125,75th to 100th,Los Esteros,310258,Within,7174.73262691498,355.479520428321
67,Alameda County,0.889381145585279,Rooftop,Urban,Rooftop - Urban,2.36681669026425,25th to 50th,Cryogenics,303469,3.67494155662256,25th to 50th,Eastshore,301389,14.6767272079786,75th to 100th,Los Esteros,310258,Within,3599.21331453323,249.315166662814
68,Alameda County,1.2984428064277,Rooftop,Urban,Rooftop - Urban,0.171016761115419,0 to 25th,Eastshore,301389,0.171016761115419,0 to 25th,Eastshore,301389,16.823063023651,75th to 100th,Los Esteros,310258,Within,5254.63160562515,285.362205377598
69,Alameda County,1.94328053459849,Rooftop,Urban,Rooftop - Urban,0.634190447282395,0 to 25th,Eastshore,301389,0.634190447282395,0 to 25th,Eastshore,301389,16.3329560259634,75th to 100th,Martin,301170,Within,7864.21024513245,357.263393671262
70,Alameda County,1.47827375134846,Parking,Urban,Parking - Urban,1.34987772950404,0 to 25th,Eastshore,301389,1.34987772950404,0 to 25th,Eastshore,301389,16.0594513712176,75th to 100th,Los Esteros,310258,Within,5982.3849234581,305.006328934381
71,Alameda County,0.8277106949353,Parking,Urban,Parking - Urban,2.71619892968003,25th to 50th,Cryogenics,303469,3.60867704880918,25th to 50th,Eastshore,301389,15.0928084524971,75th to 100th,Los Esteros,310258,Within,3349.64300632477,234.80526539386
72,Alameda County,1.42216653946797,Rooftop,Urban,Rooftop - Urban,0.460998648101739,0 to 25th,Eastshore,301389,0.460998648101739,0 to 25th,Eastshore,301389,16.777011110085,75th to 100th,Los Esteros,310258,Within,5755.32661437988,308.019142255284
73,Alameda County,1.74886755543262,Rooftop,Urban,Rooftop - Urban,0.155227886531746,0 to 25th,Eastshore,301389,0.155227886531746,0 to 25th,Eastshore,301389,16.9655613031486,75th to 100th,Martin,301170,Within,7077.43922472,340.223516621703
74,Alameda County,1.93974873001167,Ground,Rural,Ground - Rural,5.46137218657477,50th to 75th,Las Positas,301848,5.46137218657477,25th to 50th,Las Positas,301848,7.35258597686539,50th to 75th,Cayetano,303421,Outside,7849.90579271317,362.346303212934
75,Alameda County,13.489383144866,Ground,Urban,Ground - Urban,1.29839171437512,0 to 25th,Eastshore,301389,1.29839171437512,0 to 25th,Eastshore,301389,15.4403394921234,75th to 100th,Martin,301170,Within,54589.6140255928,1235.77664939959
76,Alameda County,1.35548136018629,Rooftop,Urban,Rooftop - Urban,0.776803263051329,0 to 25th,Eastshore,301389,0.776803263051329,0 to 25th,Eastshore,301389,16.6811256757181,75th to 100th,Martin,301170,Within,5485.46001577377,307.494786864572
77,Alameda County,3.60498608152401,Parking,Urban,Parking - Urban,1.16170431523647,0 to 25th,Eastshore,301389,1.16170431523647,0 to 25th,Eastshore,301389,17.2910542307737,75th to 100th,Martin,301170,Within,14588.9169111252,572.649463028797
78,Alameda County,1.01184667228246,Parking,Urban,Parking - Urban,2.9347255317747,50th to 75th,Eastshore,301389,2.9347255317747,0 to 25th,Eastshore,301389,16.4364393275579,75th to 100th,Los Esteros,310258,Within,4094.81383228302,257.316400951414
79,Alameda County,3.03014372353982,Rooftop,Urban,Rooftop - Urban,1.69545097291003,25th to 50th,Eastshore,301389,1.69545097291003,0 to 25th,Eastshore,301389,15.4599094747698,75th to 100th,Martin,301170,Within,12262.6197371483,492.160241233778
80,Alameda County,0.961913345784132,Parking,Urban,Parking - Urban,1.44466702664603,25th to 50th,Eastshore,301389,1.44466702664603,0 to 25th,Eastshore,301389,16.9573730872601,75th to 100th,Martin,301170,Within,3892.74113702774,279.455743494645
81,Alameda County,1.1763037007627,Rooftop,Urban,Rooftop - Urban,1.5808127577159,25th to 50th,Eastshore,301389,1.5808127577159,0 to 25th,Eastshore,301389,16.09239914444,75th to 100th,Martin,301170,Within,4760.35126209259,282.839568298883
82,Alameda County,0.575745210674554,Rooftop,Urban,Rooftop - Urban,1.65836210348163,25th to 50th,Eastshore,301389,1.65836210348163,0 to 25th,Eastshore,301389,16.2615085855573,75th to 100th,Martin,301170,Within,2329.96754741669,199.115703787096
83,Alameda County,0.516156692337598,Parking,Urban,Parking - Urban,2.77556498904326,50th to 75th,Castro Valley,303892,2.77556498904326,0 to 25th,Castro Valley,303892,17.2200609011013,75th to 100th,Los Esteros,310258,Within,2088.82200908661,208.938835058193
84,Alameda County,0.99978230432026,Rooftop,Urban,Rooftop - Urban,1.94698683135751,25th to 50th,Grant,303596,2.15356797008168,0 to 25th,Eastshore,301389,15.659320730548,75th to 100th,Martin,301170,Within,4045.99163579941,254.468317121439
85,Alameda County,1.11452921590934,Parking,Urban,Parking - Urban,2.00559065134553,25th to 50th,Grant,303596,2.11712137624174,0 to 25th,Eastshore,301389,15.7172785868447,75th to 100th,Martin,301170,Within,4510.35613107681,299.887849973902
86,Alameda County,0.811256555696269,Rooftop,Urban,Rooftop - Urban,2.02515199601055,25th to 50th,Grant,303596,2.24063583265728,0 to 25th,Eastshore,301389,15.8070368893589,75th to 100th,Martin,301170,Within,3283.05495357513,246.338230066162
87,Alameda County,1.29544601820094,Rooftop,Urban,Rooftop - Urban,1.65140469958812,25th to 50th,Grant,303596,2.41686979801218,0 to 25th,Eastshore,301389,15.4061090150627,75th to 100th,Martin,301170,Within,5242.50481414795,281.342792617009
88,Alameda County,1.63768492051753,Rooftop,Urban,Rooftop - Urban,1.70406982759245,25th to 50th,Grant,303596,2.43216485582583,0 to 25th,Eastshore,301389,15.4742306477552,75th to 100th,Martin,301170,Within,6627.5015501976,357.815451520184
89,Alameda County,1.28768613541037,Rooftop,Urban,Rooftop - Urban,1.76742584067791,25th to 50th,Grant,303596,2.42494292063343,0 to 25th,Eastshore,301389,15.5545013577597,75th to 100th,Martin,301170,Within,5211.09826374054,297.136166466082
90,Alameda County,1.32846229999084,Rooftop,Urban,Rooftop - Urban,1.62470037996142,25th to 50th,Grant,303596,2.52644548225729,0 to 25th,Eastshore,301389,15.4330886664103,75th to 100th,Martin,301170,Within,5376.10867071152,338.543601474571
91,Alameda County,3.89242521518451,Ground,Urban,Ground - Urban,0.514753254362697,0 to 25th,Grant,303596,3.33278121821138,25th to 50th,Eastshore,301389,14.2616962537797,75th to 100th,Martin,301170,Within,15752.148583889,497.510669100457
92,Alameda County,0.301198904960609,Parking,Urban,Parking - Urban,2.52162849021123,25th to 50th,Castro Valley,303892,2.52162849021123,0 to 25th,Castro Valley,303892,17.3572911512883,75th to 100th,Martin,301170,Within,1218.9135556221,174.991677235008
93,Alameda County,3.25027232431509,Rooftop,Urban,Rooftop - Urban,2.08907061614024,25th to 50th,Grant,303596,2.81246460650724,0 to 25th,Eastshore,301389,15.9708136484368,75th to 100th,Martin,301170,Within,13153.4480628967,511.712245688149
94,Alameda County,0.0711170791328282,Parking,Urban,Parking - Urban,2.49725863578134,25th to 50th,Castro Valley,303892,2.49725863578134,0 to 25th,Castro Valley,303892,17.4053779620868,75th to 100th,Martin,301170,Within,287.801751613617,73.8003641665279
95,Alameda County,0.412947521087013,Parking,Urban,Parking - Urban,2.50141065065881,25th to 50th,Castro Valley,303892,2.50141065065881,0 to 25th,Castro Valley,303892,17.3374385738054,75th to 100th,Martin,301170,Within,1671.14620161057,232.117745010624
96,Alameda County,1.65404853043862,Parking,Urban,Parking - Urban,6.23433525677329,75th to 100th,Las Positas,301848,6.23433525677329,50th to 75th,Las Positas,301848,6.12173946112652,50th to 75th,Cayetano,303421,Within,6693.70642471313,366.824935799376
97,Alameda County,0.67939022995955,Parking,Urban,Parking - Urban,6.36809519743583,75th to 100th,Las Positas,301848,6.36809519743583,50th to 75th,Las Positas,301848,6.16062747283046,50th to 75th,Cayetano,303421,Within,2749.4053106308,215.421047192297
98,Alameda County,3.05412128447633,Parking,Urban,Parking - Urban,6.13617209826782,50th to 75th,San Ramon,309611,6.13617209826782,25th to 50th,San Ramon,309611,7.29722375690037,50th to 75th,Cayetano,303421,Within,12359.646613121,457.376023509951
99,Alameda County,1.9042891760975,Parking,Urban,Parking - Urban,6.39544107679512,75th to 100th,Las Positas,301848,6.39544107679512,50th to 75th,Las Positas,301848,6.15527329196745,50th to 75th,Cayetano,303421,Within,7706.41560411453,423.205891722607
100,Alameda County,0.666289899327881,Parking,Urban,Parking - Urban,1.42055275829327,25th to 50th,Castro Valley,303892,1.42055275829327,0 to 25th,Castro Valley,303892,17.0088647538182,75th to 100th,Cayetano,303421,Within,2696.38982963562,220.094293107013
101,Alameda County,0.237281833187003,Parking,Urban,Parking - Urban,3.54025524276891,50th to 75th,Las Positas,301848,3.54025524276891,25th to 50th,Las Positas,301848,4.60208311573291,25th to 50th,Cayetano,303421,Within,960.249338626862,146.242817767725
102,Alameda County,0.150606845873742,Parking,Urban,Parking - Urban,2.31325530767316,25th to 50th,Castro Valley,303892,2.31325530767316,0 to 25th,Castro Valley,303892,17.2477647836879,75th to 100th,Martin,301170,Within,609.486704826355,117.127616796811
103,Alameda County,1.41343224959249,Parking,Urban,Parking - Urban,3.57223941120508,50th to 75th,Las Positas,301848,3.57223941120508,25th to 50th,Las Positas,301848,4.59551628222482,25th to 50th,Cayetano,303421,Within,5719.9702000618,332.959517742056
104,Alameda County,0.148418607735026,Parking,Urban,Parking - Urban,3.56794452977583,50th to 75th,Las Positas,301848,3.56794452977583,25th to 50th,Las Positas,301848,4.57336452558543,25th to 50th,Cayetano,303421,Within,600.631186485291,102.781678319423
105,Alameda County,0.763195251256771,Parking,Urban,Parking - Urban,2.31484191060637,25th to 50th,Castro Valley,303892,2.31484191060637,0 to 25th,Castro Valley,303892,17.1884557088104,75th to 100th,Martin,301170,Within,3088.55643558502,239.191390983916
106,Alameda County,0.800873221511683,Parking,Urban,Parking - Urban,2.27234872371832,25th to 50th,Castro Valley,303892,2.27234872371832,0 to 25th,Castro Valley,303892,17.2272921844214,75th to 100th,Martin,301170,Within,3241.03282785416,220.520395994329
107,Alameda County,4.51685410363014,Ground,Urban,Ground - Urban,2.0503579685172,25th to 50th,Las Positas,301848,2.0503579685172,0 to 25th,Las Positas,301848,4.45978832570532,25th to 50th,Cayetano,303421,Within,18279.1282653809,601.542584664768
